薄	báo	bok6	HAKU	박	PAK		*bhɑk
夙	sù	suk1	SHUKU	숙	SWUK	túc	siuk
興	xìng	hing1 hing3	KYOU KOU	흥	HUNG	hưng	*xièng *xiəng
溫	wēn	wan1	ON UN	온	ON		quən
凊	qìng	zing6	SEI SHAU	청	CHENG		
似	shì	ci5	JI	사	SA	tự	*ziə̌ ziə̌
蘭	lán	laan4	RAN	난 란	LAN		*lɑn
斯	sī	si1	SHI	사	SA		*siɛ
馨	xīn	hing1	KEI KYOU	형	HYENG	hanh	xeng
如	rú	jyu4	JO NYO	여	YE	như	*njiu
松	sōng	cung4	SHOU	송	SONG	tùng	*ziong
之	zhī	zi1	SHI	지	CI	chi	*jiə jiə
盛	shèng	sing4 sing6	SEI JOU	성	SENG	thịnh	*zhiɛ̀ng
川	chuān	cyun1	SEN	천	CHEN	xuyên	*chiuɛn
流	liú	lau4	RYUU RU	류 유	LYU	lưu	*liou
不	bù	bat1 fau2	FU BU FUTSU HI	부 불	PWU PWUL	bất	*biət biət
息	xi	sik1	SOKU	식	SIK	tức	*siək
淵	yuān	jyun1	EN	연	YEN	uyên	
澄	chéng	cing4 dang6	CHOU	징	CING	chừng	*djhiəng djhiæng
取	qǔ	ceoi2	SHU	취	CHWI	thủ	*tsiǒ
映	yìng	jing2	EI YOU	영	YENG	ánh	*qiæ̀ng
容	róng	jung4	YOU	용	YONG	dung	*iong
止	zhǐ	zi2	SHI	지	CI	chỉ	*jiə̌
若	ruò	je5 joek6	JAKU NYAKU	야 약	YAK YA	nhược	*njiɑk
思	sī	si1 si3 soi1	SHI	사	SA	tư	*siə siə̀
言	yán	jin4	GEN GON GIN	언	EN UN	ngôn	*ngiæn
辭	cí	ci4	JI SHI	사	SA		*ziə
安	ān	ngon1 on1	AN	안	AN	an	*qɑn
定	dìng	deng6 ding6	TEI JOU	정	CENG	định	*dhèng
篤	dǔ	duk1	TOKU	독	TOK	đốc	
初	chū	co1	SHO SO	초	CHO	sơ	*chriu
誠	chéng	sing4	SEI JOU	성	SENG	thành	*zhiɛng
美	měi	mei5	BI MI	미	MI	mỉ	*myǐ
慎	shèn	san6	SHIN			thận	*zhìn
終	zhōng	zung1	SHUU SHU	종	CONG	chung	*jiung
宜	yi	ji4	GI	의	UY	nghi	*ngyɛ
令	lìng	lim1 ling4 ling6	REI RYOU	령 영	LYENG	lệnh	*liɛ̀ng liɛng
榮	róng	wing4	EI YOU	영	YENG	vinh	*hiuæng
業	yè	jip6	GYOU GOU	업	EP	nghiệp	*ngiæp
所	suǒ	so2	SHO SO	소	SO	sỡ	*shriǔ
基	jī	gei1	KI	기	KI	cơ	giə
籍	jí	zik6	SEKI SHAKU	적	CEK		dzhiɛk
甚	shén	sam6 sap6	SHIN JIN	심	SIM	thậm	*zhǐm zhìm
無	wú	mou4	MU BU	무	MWU	vô	*mio
竟	jìng	ging2	KEI KYOU	경	KYENG	cánh	*giæ̀ng
學	xué	hok6	GAKU	학	HAK	học	*hak
優	yōu	jau1	YUU U	우	WU		qiou
登	dēng	dang1	TOU TO	등	TUNG	đăng	*dəng
仕	shì	si6	SHI JI	사	SA	sĩ	
攝	shè	nip6 sip3	SETSU SHOU	섭	SEP YEP	nhép	shiɛp
職	zhí	zik1	SHOKU TOKU SHIKI	직	CIK	chức	jiək
從	cóng	cung4	JUU SHOU JU	종	CONG	tòng	*dzhiong tsiong
政	zhèng	zing3	SEI SHOU	정	CENG	chính	
存	cún	cyun4	SON ZON	존	CON	tồn	*dzuən
以	yǐ	ji5 jyu5	I	이	I		*iə̌ iə̌
甘	gān	gam1	KAN	감	KAM	bả cam	*gɑm
棠	táng	tong4	TOU DOU	당	TANG		dhɑng
去	qù	heoi2 heoi3	KYO KO	거	KE	khứ	*kiù
而	ér	ji4	JI NI	이	I		*njiə
益	yì	jik1	EKI YAKU	익	IK	ích	
詠	yǒng	wing6	EI	영	YENG	vịnh	*hiuæ̀ng
樂	lè	lok6 ngaau6 ngok6	GAKU RAKU GOU	낙 락 악 요	AK LAK YO	lạc	*lɑk *ngak
殊	shū	syu4	SHU JU	수	SWU	thùa	*zhio
貴	guì	gwai3	KI	귀	KWI	quý	*giuə̀i
賤	jiàn	zin6	SEN ZEN	천	CHEN	tiện	*dzhiɛ̀n
禮	lǐ	lai5	REI RAI	례 예	LYEY	lễ	*lěi
別	bié	bit6	BETSU BECHI	별	PYEL	biết	*bhyɛt
尊	zūn	zeon1 zyun1	SON	존	CON CWUN	tôn	*tzuən
卑	bēi	bei1	HI	비	PI		biɛ
上	shàng	soeng5 soeng6	JOU SHOU	상	SANG	thượng	*zhiɑ̀ng zhiɑ̀ng zhiɑ̌ng
和	hé	wo4 wo6	WA KA	화	HWA	hoà	*huɑ huɑ̀
下	xià	haa5 haa6	KA GE	하	HA	hạ	hà hǎ
睦	mù	muk6	BOKU MOKU	목	MOK	mục	
夫	fu	fu1 fu4	FU FUU	부	PWU	phu	*bio bhio
唱	chàng	coeng3	SHOU	창	CHANG	xướng	*chiɑ̀ng
婦	fù	fu5	FU	부	PWU	phụ	*bhiǒu
隨	suí	ceoi4	ZUI SUI	수	SWU	tuỳ	*ziuɛ
外	wài	ngoi6 oi6	GAI GE	외	OY	ngoại	*nguɑ̀i
受	shòu	sau6	JU SHUU	수	SWU	thụ	*zhiǒu
傅	fu	fu6	FU	부	PWU	phó	biò
訓	xun	fan3	KUN KIN	훈	HWUN	huấn	xiuə̀n
入	rù	jap6	NYUU JU JUU	입	IP	nhập	*njip njip
奉	fèng	fung6	HOU BU	봉	PONG	phụng	*bhiǒng
母	mǔ	mou5	BO BOU MO	모	MO	mẫu	*mǒu
儀	yí	ji4	GI	의	UY	nghi	ngyɛ
諸	zhū	zyu1	SHO	제	CEY	chư	*jiu
姑	gū	gu1	KO	고	KO	cô	*go
伯	bó	baa3 baak3	HAKU HA	백	PAYK PHAY	bá	bæk
叔	shū	suk1	SHUKU	숙	SWUK	thúc	
猶	yóu	jau4	YUU	유	YU		*iou
子	zi	zi2	SHI SU	자	CA	tí	*tziə̌
比	bǐ	bei2 bei6 pei4	HI	비	PI	tỉ	*bǐ bhi bì
兒	ér	ji4 ngai4	JI NI GEI	아	A		*njiɛ njiɛ
孔	kǒng	hung2	KOU	공	KONG	khổng	*kǔng
懷	huái	waai4	KAI	회	HOY	hoài	*huæi
兄	xiōng	hing1	KEI KYOU	형	HYENG	huynh	*xiuæng xiuæng
弟	dì	dai6 tai5	TEI DAI	제	CEY	đệ	*dhěi
同	tóng	tung4	DOU TOU	동	TONG	đồng	*dhung
氣	qì	hei3	KI KE	기	KI	khí	*kiə̀i
連	lián	lin4	REN	련 연	LYEN	liên	*liɛn
枝	zhī	kei4 zi1	SHI KI	지	CI	chi	*jiɛ
交	jiāo	gaau1	KOU KYOU	교	KYO	giao	*gau gau
友	you	jau5	YUU	우	WU	hữu	hiǒu
投	tóu	tau4	TOU	투	THWU	đầu	*dhou
分	fēn	fan1 fan6	BUN FUN BU	분	PWUN PHWUN	phân	*biən bhiə̀n
切	qiè	cai3 cit3	SETSU SAI	절 체	CEL CHEY	thiết	tset
磨	mó	mo4 mo6	MA	마	MA	mài	*mɑ
箴	zhēn	zam1	SHIN	잠	CAM	bú giăm	
規	guī	kwai1	KI	규	KYU	qui	giuɛ
仁	rén	jan4	JIN NIN NI	인	IN	nhân	njin
慈	cí	ci4	JI	자	CA	từ	*dzhiə
隱	yǐn	jan2	IN ON	은	UN	ẩn	qiə̌n
惻	cè	caak1 cak1	SOKU SHOKU	측	CHUK		*chriək
造	zào	cou3 cou5 zou6	ZOU	조	CO	tạo	dzhɑ̌u tsɑ̀u
次	cì	ci3	JI SHI	차	CHA	thứ	tsì
弗	fú	fat1	FUTSU BOTSU	불	PWUL	phất	
離	lí	lei4	RI	리 이	LI	li	*liɛ
節	jié	zit3	SETSU SECHI	절	CEL	tiết	*tzet
義	yì	ji6	GI	의	UY	nghĩa	ngyɛ̀
廉	lián	lim4	REN	렴 염	LYEM	liêm	liɛm
退	tuì	teoi3	TAI TON	퇴	THOY	thoái	*tuə̀i
顛	diān	din1	TEN		CEN	điên	den
沛	pèi	pui3	HAI	패	PHAY	phải	
匪	fěi	fei2	HI	비	PI PWUN	phỉ	piə̌i
虧	kuī	fai1 kwai1	KI	휴	HYU	khuya	kyuɛ
性	xìng	sing3	SEI SHOU	성	SENG	tính	*siɛ̀ng
靜	jìng	zing6	SEI JOU	정	CENG		*dzhiɛ̌ng
情	qíng	cing4	JOU SEI	정	CENG	tình	*dzhiɛng
逸	yì	jat6	ITSU ICHI	일	IL	dật	it
心	xīn	sam1	SHIN	심	SIM	tâm	*sim
動	dòng	dung6	DOU	동	TONG	động	*dhǔng
神	shén	san1 san4	SHIN JIN	신	SIN	thần	*jhin
疲	pí	pei4	HI	피	PHI	bì	bhyɛ
守	shǒu	sau2	SHU SU	수	SWU	thú	*shiǒu
真	zhēn	zan1	SHIN			chân	*jin
志	zhì	zi3	SHI	지	CI	chí	*jiə̀
滿	mǎn	mun5	MAN BAN	만	MAN	mãn	*mɑ̌n
逐	zhú	zuk6	CHIKU JIKU	축	CHWUK CEK	trục	*djhiuk
物	wù	mat6	MOTSU BUTSU	물	MWUL	vật	*miət
意	yì	ji3	I	의	UY	ý	qiə̀
移	yí	ji4	I	이	I	dời	*iɛ
堅	jiān	gin1	KEN	견	KYEN	kiên	*gen
持	chí	ci4	JI CHI	지	CI	trì	*djhiə
雅	yǎ	aa1 ngaa5	GA A	아	A	nhã	*ngǎ
操	cāo	cou1 cou3	SOU	조	CO		tsɑu tsɑ̀u
好	hǎo	hou2 hou3	KOU	호	HO	háo	*xɑ̀u *xɑ̌u
爵	jué	zoek3	SHAKU	작	CAK	tước	
自	zì	zi6	SHI JI	자	CA	tự	*dzhì
縻	mí	mei4	BI	미	MI		myɛ
都	dōu	dou1	TO TSU CHO	도	TO	đô	*do
邑	yì	jap1	YUU OU	읍	UP	ấp	*qyip
華	huá	faa1 waa4 waa6	KA KE	화	HWA	hoa	*hua huà
夏	xià	haa6	KA GE	하	HA		*hǎ
東	dōng	dung1	TOU	동	TONG	hốc đông	*dung
